date,price
2025-03-11,7.61249026819431e-06
2025-03-12,8.13847264460219e-06
2025-03-13,1.0940495474137e-05
2025-03-16,1.43054399351657e-05
2025-04-23,6.49706165458737e-05
2025-05-04,7.447629223316784e-05
2025-05-07,8.770328259900351e-05
2025-05-08,0.0001043581054592
2025-05-09,0.0001842744475866
2025-05-10,0.000236277292801
2025-05-11,0.0002621248040423
2025-05-12,0.0002831551913638
2025-05-13,0.0002771249872419
2025-05-17,0.0002890623513415
2025-05-18,0.000489409556513
2025-05-19,0.0007981387370891
2025-05-20,0.0008083052804349
2025-05-21,0.0009125001555462
2025-05-22,0.0024357190718908
2025-05-23,0.0024668846177025
2025-05-24,0.0024742347165339
2025-05-25,0.0024098891359251
2025-05-26,0.0025567751260785
2025-05-27,0.0027173709371932
2025-05-28,0.0025823714321881
2025-05-29,0.0028415191108991
2025-05-30,0.002674636707053
2025-05-31,0.0026418515035105
2025-06-01,0.0026206674215661
2025-06-02,0.002678827169302
2025-06-03,0.0026468586158964
2025-06-04,0.0026182419207254
2025-06-05,0.0024733428831848
2025-06-06,0.0026359252008366
2025-06-07,0.0027262265433729
2025-06-08,0.0026814656433439
2025-06-09,0.0028630347842475
2025-06-10,0.0029680640269661
2025-06-11,0.0030133887492243
2025-06-12,0.0030008892318171
2025-06-13,0.0026754847256549
2025-06-14,0.0027613156533966
2025-06-15,0.0025550942966478
2025-06-16,0.0023195417835217
2025-06-17,0.0022837492594687
2025-06-18,0.0023039942807909
2025-06-19,0.0022966239739075
2025-06-20,0.0023559436729152
2025-06-21,0.0022336029740126
2025-06-22,0.0022701672306001
2025-06-23,0.0024823564509227
2025-06-24,0.0024831310135453
2025-06-25,0.0024917304891834
2025-06-26,0.0024810414337426
2025-06-27,0.0024923561719111
2025-06-28,0.0025020879893205
2025-06-29,0.0026801128649312
2025-06-30,0.0027416686590657
2025-07-01,0.0026140847631417
2025-07-02,0.0026152764586013
2025-07-03,0.0027150925239663
2025-07-04,0.002604235075408
2025-07-05,0.0026328761126797
2025-07-06,0.0026135665956075
2025-07-07,0.0026514341287414
2025-07-08,0.0026762069920546
2025-07-09,0.0027481154957543
2025-07-10,0.002929404424252
2025-07-11,0.0030005208584812
2025-07-12,0.0028567983423328
2025-07-13,0.0029014782695628
2025-07-14,0.0029087147160736
2025-07-15,0.0029215329388873
2025-07-16,0.0031212146306018
2025-07-17,0.0031518270619237
2025-07-18,0.0032516814440464
2025-07-19,0.0032068458411737
2025-07-20,0.0033068985932257
2025-07-21,0.0036476442723598
2025-07-22,0.0037847241968079
2025-07-24,0.0034518875575126
2025-07-26,0.003510610029893
2025-07-27,0.0035089737447693
2025-07-28,0.0035689099341209
2025-07-30,0.0033691068616355
2025-07-31,0.003328646871802
2025-08-02,0.0030935716278189
2025-08-03,0.0030303046724981793
2025-08-04,0.0031367792317496157
2025-08-05,0.003214250536642136
2025-08-06,0.0030911644430779636
2025-08-07,0.0032139859821520966
2025-08-08,0.003350475417932216
2025-08-09,0.003413256105805225
2025-08-10,0.0034277622852743298
2025-08-12,0.0034981950503860174
2025-08-13,0.0037983144411274194
2025-08-15,0.0036763502254491104
2025-08-17,0.0036418351806449083
2025-08-18,0.0034322881572197697
2025-08-19,0.0033986015719600442
2025-08-21,0.0036054878193312466
2025-08-22,0.0037051824676679573
2025-08-23,0.003897964333081072
