date,price
2025-08-02 01:09:00.131,113832.0854850238
2025-08-02 02:02:27.736,113578.49576808819
2025-08-02 03:08:41.726,113673.74620812749
2025-08-02 04:08:21.397,113852.3864210684
2025-08-02 05:02:47.373,113967.9839859553
2025-08-02 06:03:43.209,113942.32273668036
2025-08-02 07:04:48.903,113655.06813021442
2025-08-02 08:04:06.826,113959.34450280547
2025-08-02 09:03:40.041,113672.36653491751
2025-08-02 10:03:44.636,113637.56193721901
2025-08-02 11:04:23.779,113556.14307563784
2025-08-02 12:09:05.872,113723.0649392288
2025-08-02 13:01:42.902,113608.90920739957
2025-08-02 14:08:55.085,113459.16980154958
2025-08-02 15:05:53.322,113019.51252463069
2025-08-02 16:04:32.942,112875.59801032377
2025-08-02 17:08:22.254,113176.4203291783
2025-08-02 18:08:57.540,112758.5252388242
2025-08-02 19:09:03.036,112296.37899409614
2025-08-02 20:04:23.492,112368.14966599106
2025-08-02 21:00:27.802,112549.7836644903
2025-08-02 22:08:59.370,112896.80480789201
2025-08-02 23:08:37.823,112869.39781442507
2025-08-03 00:08:57.851,112572.12800035469
2025-08-03 01:08:25.551,112894.69940674068
2025-08-03 02:02:59.530,113073.65766450418
2025-08-03 03:07:29.073,113457.52182305185
2025-08-03 04:09:09.535,113649.54259870613
2025-08-03 05:08:55.553,113435.8287957056
2025-08-03 06:03:47.034,113577.79165590803
2025-08-03 07:04:49.851,113567.1687837777
2025-08-03 08:04:02.958,113668.19927365525
2025-08-03 09:09:21.978,113670.86290393065
2025-08-03 10:08:33.902,113638.41308939453
2025-08-03 11:08:01.163,113912.57363352538
2025-08-03 12:09:40.577,113866.72156181918
2025-08-03 13:07:31.323,114046.81376808541
2025-08-03 14:04:22.100,113941.79108714974
2025-08-03 15:06:40.898,113782.63800895533
2025-08-03 16:07:24.553,113926.70193936558
2025-08-03 17:05:59.083,113964.77471508921
2025-08-03 18:00:44.887,114042.99560266416
2025-08-03 19:00:42.360,114347.94859704362
2025-08-03 20:02:32.713,114310.96745014463
2025-08-03 21:08:39.017,114396.6229461927
2025-08-03 22:09:37.790,114398.33529134598
2025-08-03 23:04:37.826,114319.43799119137
2025-08-04 00:08:55.275,114235.10224673641
2025-08-04 01:03:20.370,114869.24802985099
2025-08-04 02:09:08.515,114666.59932865792
2025-08-04 03:04:08.255,114776.25672056428
2025-08-04 04:00:34.795,114621.92322718422
2025-08-04 05:07:27.743,114348.29134444591
2025-08-04 06:08:08.112,114382.08682050809
2025-08-04 07:08:42.586,114449.11746962153
2025-08-04 08:09:22.037,114690.84568035815
2025-08-04 09:04:17.549,114543.9602819495
2025-08-04 10:00:20.331,114442.5495561121
2025-08-04 11:08:45.637,114292.1574135517
2025-08-04 12:08:58.873,114454.11768115955
2025-08-04 13:09:38.523,114408.47384687644
2025-08-04 14:04:50.603,114795.98722874823
2025-08-04 15:04:02.402,114761.91376541072
2025-08-04 16:04:56.245,114831.3138875657
2025-08-04 17:09:51.977,115347.8424712757
2025-08-04 18:09:07.041,115196.62958608687
2025-08-04 19:10:52.984,114928.07509102397
2025-08-04 20:01:30.094,114765.84230086353
2025-08-04 21:03:50.848,114874.11843126298
2025-08-04 22:09:42.915,115143.71446121797
2025-08-04 23:04:07.176,115291.2159130596
2025-08-05 00:09:49.767,115030.80970246221
2025-08-05 01:03:59.316,114871.18441096565
2025-08-05 02:04:25.177,114735.39958884488
2025-08-05 03:08:40.443,114717.48219813268
2025-08-05 04:04:45.458,114256.2580651086
2025-08-05 05:08:40.503,114366.72954286869
2025-08-05 06:05:34.472,114372.09522795725
2025-08-05 07:04:04.288,114149.63967648697
2025-08-05 08:04:55.477,113952.07502334587
2025-08-05 09:09:12.421,114292.62186099906
2025-08-05 10:03:54.631,114683.08059246908
2025-08-05 11:09:42.795,114783.83093722479
2025-08-05 12:09:03.421,114789.31794637284
2025-08-05 13:00:44.846,113993.9514593911
2025-08-05 14:03:45.597,114353.4824076822
2025-08-05 15:04:11.352,112866.55339857315
2025-08-05 16:09:31.009,112919.76283271505
2025-08-05 17:09:33.434,113148.65617313617
2025-08-05 18:09:34.825,113553.50959410446
2025-08-05 19:00:48.582,113385.7991953131
2025-08-05 20:01:07.234,113543.52819267473
2025-08-05 21:09:02.826,113596.53931952552
2025-08-05 22:09:57.406,113436.08169528015
2025-08-05 23:08:25.410,113954.92219768552
2025-08-06 00:09:10.462,114097.76452778364
2025-08-06 01:09:11.952,113820.09656730953
2025-08-06 02:08:08.279,113813.9280338145
2025-08-06 03:08:46.560,113604.50176946135
2025-08-06 04:09:30.005,113515.52646149156
2025-08-06 05:09:38.950,113469.76685342751
2025-08-06 06:00:36.630,114133.76134354107
2025-08-06 07:09:29.188,114083.75359698298
2025-08-06 08:09:16.491,114200.39206687103
2025-08-06 09:00:40.826,113881.6747222235
2025-08-06 10:04:52.825,114123.58751131837
2025-08-06 11:02:39.346,114036.83776300622
2025-08-06 12:09:10.543,114197.2019483257
2025-08-06 13:04:11.396,113924.32949619247
2025-08-06 14:08:06.527,114359.67744797317
2025-08-06 15:10:21.778,114949.5358265943
